Gorilla_ID,DateTime,Status,threat,group,context,repetition,consent,ExperimentVersion,Fill1pos_math1,Fill1pos_DEQ_happiness,Fill1pos_DEQ_satisfaction,Fill1pos_DEQ_enjoyment,Fill1pos_DEQ_happy_total,Fill1pos_DEQ_alarmed,Fill1pos_DEQ_scared,Fill1pos_DEQ_fear,Fill1pos_DEQ_fear_total,Fill1pos_DEQ_irritation,Fill1pos_DEQ_aggravation,Fill1pos_DEQ_annoyance,Fill1pos_DEQ_anger_total,Fill1pos_SWL_ideal,Fill1pos_SWL_condition,Fill1pos_SWL_satisfied,Fill1pos_SWL_change,Fill1pos_SWL_total,Fill1pos_Burnout_tired,Fill1pos_Burnout_hopeless,Fill1pos_Burnout_worthless,Fill1pos_Burnout_disappointed,Fill1pos_Burnout_depressed,Fill1pos_Burnout_total,Fill1pos_math2,Fill1pos_math3,Fill1pos_math4,Fill4pos_math1,Fill4pos_DEQ_happiness,Fill4pos_DEQ_satisfaction,Fill4pos_DEQ_enjoyment,Fill4pos_DEQ_happy_total,Fill4pos_DEQ_alarmed,Fill4pos_DEQ_scared,Fill4pos_DEQ_fear,Fill4pos_DEQ_fear_total,Fill4pos_DEQ_irritation,Fill4pos_DEQ_aggravation,Fill4pos_DEQ_annoyance,Fill4pos_DEQ_anger_total,Fill4pos_SWL_ideal,Fill4pos_SWL_condition,Fill4pos_SWL_satisfied,Fill4pos_SWL_change,Fill4pos_SWL_total,Fill4pos_Burnout_tired,Fill4pos_Burnout_hopeless,Fill4pos_Burnout_worthless,Fill4pos_Burnout_disappointed,Fill4pos_Burnout_depressed,Fill4pos_Burnout_total,Fill4pos_math2,Fill4pos_math3,Fill4pos_math4,SP_math1,SP_DEQ_happiness,SP_DEQ_satisfaction,SP_DEQ_enjoyment,SP_DEQ_happy_total,SP_DEQ_alarmed,SP_DEQ_scared,SP_DEQ_fear,SP_DEQ_fear_total,SP_DEQ_irritation,SP_DEQ_aggravation,SP_DEQ_annoyance,SP_DEQ_anger_total,SP_SWL_ideal,SP_SWL_condition,SP_SWL_satisfied,SP_SWL_change,SP_SWL_total,SP_Burnout_tired,SP_Burnout_hopeless,SP_Burnout_worthless,SP_Burnout_disappointed,SP_Burnout_depressed,SP_Burnout_total,SP_math2,SP_math3,SP_math4,NP_math1,NP_DEQ_happiness,NP_DEQ_satisfaction,NP_DEQ_enjoyment,NP_DEQ_happy_total,NP_DEQ_alarmed,NP_DEQ_scared,NP_DEQ_fear,NP_DEQ_fear_total,NP_DEQ_irritation,NP_DEQ_aggravation,NP_DEQ_annoyance,NP_DEQ_anger_total,NP_SWL_ideal,NP_SWL_condition,NP_SWL_satisfied,NP_SWL_change,NP_SWL_total,NP_Burnout_tired,NP_Burnout_hopeless,NP_Burnout_worthless,NP_Burnout_disappointed,NP_Burnout_depressed,NP_Burnout_total,NP_math2,NP_math3,NP_math4,Purpose,Concealment,Age,Gender,Ethnicity,Quality_issues,Data_consent,Display_check,face_compliance_scalar,face_compliance_scalar_soft,face_compliance_binary,math_errors
16155757,15/06/2026 10:57:21,complete,Threat,SmileNegOne,negative,one,I agree to participate,13,4,2,3,2,2.3333333333333335,5,1,1,2.3333333333333335,5,1,4,3.3333333333333335,6,3,3,4,4,5,2,3,3,2,3,2,6,4,8,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,3,2.75,1,1,1,1,1,1,1,9,2,5,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,1,1,2,1,2,4,7,3,7,1,1,1,1,1,1,1,1,1,1,1,1,2,5,2,2,2.75,5,1,1,1,1,1.8,4,8,7,facial expressions in relation to emotions,not sure,34,Female,White,NA,"Yes, you may use my data in the research.",NA,TRUE,TRUE,TRUE,0
16155759,15/06/2026 10:57:22,complete,Threat,NaturaPosOne,positive,one,I agree to participate,13,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,3,4,2,1,1,1,1,1.2,2,6,4,8,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,3,4,2,1,1,1,1,1.2,1,9,2,5,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,3,4.25,2,1,1,1,1,1.2,4,7,3,7,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,3,4.25,2,1,1,1,1,1.2,4,8,7,To see how repetitive tasks affect mood,Absolutely no clue,28,Male,White,NA,"Yes, you may use my data in the research.",NA,FALSE,TRUE,TRUE,0
16155760,15/06/2026 10:57:23,complete,No threat,NaturaPosTen,positive,ten,I agree to participate,13,4,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,2,5,1,1,1,1,1,1,2,6,4,8,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,2,5,1,1,1,1,1,1,1,9,2,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,2,5,1,1,1,1,1,1,4,7,3,7,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,2,5,1,1,1,1,1,1,4,8,7,I have no idea,I have no idea about this either,46,Male,White,no issues,"Yes, you may use my data in the research.",NA,FALSE,TRUE,TRUE,0
16155761,15/06/2026 10:57:32,complete,No threat,SmileNegTen,negative,ten,I agree to participate,13,4,1,1,1,1,1,1,1,1,1,1,1,1,6,5,6,7,6,2,2,4,2,3,2.6,2,6,4,8,1,1,1,1,2,1,1,1.3333333333333333,2,2,2,2,6,5,7,6,6,1,1,1,1,2,1.2,1,9,2,5,1,1,1,1,3,1,1,1.6666666666666667,2,2,2,2,5,5,7,6,5.75,2,3,3,2,2,2.4,4,7,3,7,1,1,1,1,4,1,1,2,3,3,3,3,5,5,7,6,5.75,2,3,2,2,3,2.4,4,8,7,I have no idea but what the hell was with the abused animals? That wasn't cool.,I don't know,34,Male,White,NA,"Yes, you may use my data in the research.",NA,FALSE,FALSE,FALSE,0
16155766,15/06/2026 10:57:37,complete,Threat,SmilePosTen,positive,ten,I agree to participate,13,4,1,1,1,1,1,1,1,1,2,2,2,2,3,5,5,1,3.5,1,1,1,1,4,1.6,2,6,4,8,1,1,1,1,1,1,1,1,4,4,4,4,3,5,3,1,3,1,1,1,1,4,1.6,1,9,2,5,1,1,1,1,1,1,1,1,4,4,4,4,4,5,5,1,3.75,2,1,1,1,4,1.8,4,7,3,7,1,1,1,1,1,1,1,1,4,4,4,4,3,NA,4,1,2.6666666666666665,2,1,1,1,4,1.8,4,8,7,visual effects,the purpose,58,Female,White,NA,"Yes, you may use my data in the research.",NA,FALSE,FALSE,FALSE,0
16155769,15/06/2026 10:57:47,complete,No threat,NaturaNegOne,negative,one,I agree to participate,13,4,2,2,2,2,1,1,1,1,1,1,1,1,5,5,5,5,5,3,2,2,2,3,2.4,2,6,4,8,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,2,2,2,NA,2.5,1,9,2,5,1,1,1,1,4,2,2,2.6666666666666665,4,3,3,3.3333333333333335,5,5,5,5,5,4,2,2,2,3,2.6,4,7,3,7,1,1,1,1,7,4,6,5.666666666666667,5,5,5,5,5,5,5,5,5,4,2,2,1,2,2.2,4,8,7,understanding facial patterns with different images/activities,who does this study benefit,35,Female,White,NA,"Yes, you may use my data in the research.",NA,TRUE,TRUE,TRUE,0
16155777,15/06/2026 10:58:53,complete,No threat,NaturaNegTen,negative,ten,I agree to participate,13,4,3,2,2,2.3333333333333335,1,1,1,1,1,1,2,1.3333333333333333,2,2,3,1,2,2,3,2,3,4,2.8,2,6,4,8,1,1,1,1,1,1,1,1,5,3,4,4,2,2,3,1,2,3,2,1,4,5,3,1,9,2,5,1,1,1,1,6,1,2,3,7,7,7,7,3,2,5,1,2.75,3,2,2,5,6,3.6,4,7,3,7,1,1,1,1,6,2,2,3.3333333333333335,6,5,5,5.333333333333333,2,3,2,1,2,2,2,1,3,2,2,4,8,7,evoke feelings,concentration and feelings,56,Female,White,None,"Yes, you may use my data in the research.",NA,FALSE,FALSE,FALSE,0
16155801,15/06/2026 10:01:59,complete,Threat,SmilePosOne,positive,one,I agree to participate,13,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,2,6,4,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,9,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,4,7,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,4,8,7,i dont know,i dont know,38,Male,Black,NA,"Yes, you may use my data in the research.",NA,TRUE,TRUE,TRUE,0
16156287,15/06/2026 08:39:01,complete,Threat,SmileNegTen,negative,ten,I agree to participate,13,4,3,5,5,4.333333333333333,1,1,2,1.3333333333333333,1,1,NA,1,3,4,2,3,3,1,2,1,3,2,1.8,2,6,4,8,5,5,6,5.333333333333333,1,2,1,1.3333333333333333,1,1,1,1,2,3,3,2,2.5,3,2,1,3,2,2.2,1,9,2,5,1,2,1,1.3333333333333333,3,5,2,3.3333333333333335,4,2,3,3,1,3,2,2,2,2,1,1,5,2,2.2,4,7,3,7,1,1,1,1,3,3,4,3.3333333333333335,4,2,2,2.6666666666666665,1,3,2,2,2,3,1,1,3,2,2,4,8,7,"To test peoples emotional endurance, and to see if peoples moods would change drastically given certain circumstances",they will use my recordings for ai training,27,Male,Mixed,No issues,"Yes, you may use my data in the research.",NA,TRUE,TRUE,TRUE,0
16156288,15/06/2026 10:39:00,complete,No threat,SmilePosOne,positive,one,I agree to participate,13,4,2,2,2,2,1,1,1,1,1,1,1,1,6,7,7,7,6.75,3,1,1,1,2,1.6,2,6,4,8,1,1,2,1.3333333333333333,1,1,1,1,1,1,1,1,6,7,7,7,6.75,3,1,2,1,2,1.8,1,9,2,5,4,3,5,4,2,1,1,1.3333333333333333,1,1,1,1,6,7,7,7,6.75,3,1,1,1,2,1.6,4,7,3,7,4,4,4,4,1,1,1,1,1,1,2,1.3333333333333333,6,7,7,7,6.75,3,1,1,1,2,1.6,4,8,7,To track how certain hand/eye movements effect thinking in the brain (specifically to math/problems)?,n/a,21,Female,White,n/a,"Yes, you may use my data in the research.",NA,FALSE,FALSE,FALSE,0
